W,M
occasionally,"때때로, 가끔"
decay,"썩다, 부식[부패]하다, 쇠퇴하다, 부패, 부식, 쇠퇴"
mechanism,"기계 장치, 절차, 방법, 구조, 기제"
mechanic,"기계공, 수리공, 정비공"
mechanical,"기계의, 기계에 관한, 기계적인, 자동적인"
mechanics,기계학
machinery,기계류
minor,"작은, 적은, 덜 중요한, 단조의, 미성년자, 부전공"
minority,"(다수에 대한) 소수(파), 소수 민족[집단], 미성년기"
minimum,"최소(의), 최저(의)"
minimal,"아주 적은, 최소의"
minimize(minimise),"최소화하다, 축소하다"
minister,"성직자, 목사, (한국, 유럽 등의) 장관"
ministry,"(정부의) 부(部), 장관(직), 성직자"
administer,"경영[운영]하다, 관리하다, (법을) 집행하다, (약 등을) 주다, 투여하다"
administration,"경영, 관리, 통치, 행정(부), (약 등의) 투여"
administrative,"관리상의, 행정상의"
diminish,"감소하다, 줄다, 감소시키다, 줄이다"
eminent,"저명한, 존경받는, 우수한"
eminently,"대단히, 탁월하게"
imminent,"임박한, (위험, 재난 등이) 곧 일어날 것 같은"
prominent,"유명한, 중요한, 눈에 띄는, 잘 보이는, 튀어나온, 돌출된"
prominence,"명성, 유명함, 두드러짐, 현저함"
domain,"소유지, 영토, (활동, 관심 등의) 영역, 범위, 도메인"
domestic,"국내의, 가정의, 가정적인"
domestically,"국내에서, 가정적으로"
domesticate,"(동물을) 사육하다, 길들이다"
dominate,"지배하다, 다스리다, 두드러지다, 우세하다"
dominant,"지배적인, 우세한, 우성의"
dominance,"지배, 권세, 우월, 우성"
domination,"지배, 통치, 우세"
predominant,"두드러진, 현저한, 지배적인, 우세한"
predominantly,"대부분, 주로"
predominate,"(수, 양적으로) 지배적이다, 우세하다"
melody,"멜로디, 선율, 가락"
tragedy,"비극, 비극적 사건"
tragic,"비극의, 비참한"
penalty,"형벌, 처벌, 벌금, (어떤 행위, 상황에 따르는) 불이익, (반칙에 대한) 페널티, 벌칙, 벌점"
penalize,"벌하다, 처벌하다, 불리하게 하다, 반칙자에게 페널티를[벌칙을] 적용하다"
punish,"벌하다, 처벌하다"
punishment,"형벌, 처벌"
compel,"억지로 ...하게 하다, 강요하다"
compulsory,"(규칙, 법에 의해) 강제적인, 의무적인"
expel,"추방하다, 쫓아내다"
appeal,"(도움, 정보 등을) 호소하다, 간청하다, ...의 흥미를 끌다, 항소하다, 상고[상소]하다, 호소, 간청, 매력, 항소, 상고, 상소"
appealing,"매력적인, 호소하는"
polish,"(가구, 구두, 유리 등을) 닦다, 윤이 나게 하다, (실력, 태도를) 연마하다, 세련되게 다듬다, 광택(제), 윤 내기, 세련(됨)"
impulse,"(갑작스러운) 충동, 자극, 추진(력)"
impulsive,충동적인
